이름,정당,위원회,지역구,대표발의,공동발의,총법안,위원회다양성,질적점수,협력점수,연결성점수,종합점수,등급,클러스터참여
김희정,국민의힘,국토교통위원회,부산광역시 연제구/부산 연제구/부산 연제구,0,100,100,3,3.0,338387.0,338387.0,315.9,S+,Yes
문금주,더불어민주당,"농림축산식품해양수산위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회, 국회운영위원회",전남 고흥군보성군장흥군강진군,10,90,100,4,3.0,152062.0,152062.0,308.4,S+,Yes
이훈기,더불어민주당,"과학기술정보방송통신위원회, 국회운영위원회",인천 남동구을,0,30,30,1,3.7,369934.8,369934.8,306.8,S+,Yes
이병진,더불어민주당,"농림축산식품해양수산위원회, 2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회, 예산결산특별위원회",경기 평택시을,0,170,170,3,3.5,374998.0,374998.0,304.3,S+,Yes
김승수,국민의힘,문화체육관광위원회,대구 북구을/대구 북구을,0,160,160,4,2.9,324066.6,324066.6,297.4,S+,Yes
추경호,국민의힘,정무위원회,대구 달성군/대구 달성군/대구 달성군,0,20,20,2,1.5,301147.2,301147.2,297.2,S+,Yes
김한규,더불어민주당,"산업통상자원중소벤처기업위원회, 여성가족위원회, 예산결산특별위원회",제주 제주시을/제주 제주시을,0,110,110,5,3.0,325097.0,325097.0,272.9,S+,Yes
김선교,국민의힘,농림축산식품해양수산위원회,경기 여주시양평군/경기 여주시양평군,0,150,150,5,3.3,292528.5,292528.5,272.0,S+,Yes
김영배,더불어민주당,"외교통일위원회, 국회운영위원회",서울 성북구갑/서울 성북구갑,0,80,80,4,3.2,313670.0,313670.0,264.5,S+,Yes
이연희,더불어민주당,"여성가족위원회, 2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회, 행정안전위원회",충북 청주시흥덕구,0,80,80,6,3.8,292987.0,292987.0,251.8,S+,Yes
박해철,더불어민주당,환경노동위원회,경기 안산시병,0,110,110,2,3.0,304727.8,304727.8,250.2,S+,Yes
서영교,더불어민주당,"법제사법위원회, 여성가족위원회",서울 중랑구갑/서울 중랑구갑/서울 중랑구갑/서울 중랑구갑,0,110,110,5,3.1,293277.0,293277.0,248.0,S+,Yes
김용만,더불어민주당,"정무위원회, 예산결산특별위원회",경기 하남시을,0,70,70,3,3.0,283507.0,283507.0,239.2,S+,Yes
권영세,국민의힘,"정보위원회, 기획재정위원회",서울특별시 영등포구을/서울특별시 영등포구을/서울 영등포구을/서울 용산구/서울 용산구,0,130,130,5,3.2,247443.0,247443.0,235.0,S+,Yes
최민희,더불어민주당,과학기술정보방송통신위원회,비례대표/경기 남양주시갑,0,60,60,1,3.3,279908.8,279908.8,232.2,S+,Yes
홍기원,더불어민주당,"외교통일위원회, 2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회",경기 평택시갑/경기 평택시갑,0,100,100,6,3.0,265762.6,265762.6,228.7,S+,Yes
박희승,더불어민주당,"예산결산특별위원회, 보건복지위원회",전북 남원시장수군임실군순창군,0,80,80,5,3.2,242075.0,242075.0,210.0,S+,Yes
민홍철,더불어민주당,"국토교통위원회, 윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회",경남 김해시갑/경남 김해시갑/경남 김해시갑/경남 김해시갑,0,100,100,4,3.2,206109.0,206109.0,207.7,S+,Yes
김성환,더불어민주당,산업통상자원중소벤처기업위원회,서울 노원구병/서울 노원구병/서울 노원구을,0,20,20,2,3.0,242236.8,242236.8,207.4,S+,Yes
백혜련,더불어민주당,"보건복지위원회, 윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회",경기 수원시을/경기 수원시을/경기 수원시을,0,100,100,5,2.9,240147.0,240147.0,206.9,S+,Yes
황정아,더불어민주당,"과학기술정보방송통신위원회, 예산결산특별위원회",대전 유성구을,0,60,60,4,2.5,227749.5,227749.5,202.4,S+,Yes
김남희,더불어민주당,"보건복지위원회, 여성가족위원회, 연금개혁 특별위원회",경기 광명시을,0,40,40,3,3.5,223657.0,223657.0,195.0,S+,Yes
윤종오,진보당,"국토교통위원회, 국회운영위원회",울산 북구/울산 북구,0,30,30,2,3.0,58372.8,58372.8,194.7,S+,Yes
김성원,국민의힘,산업통상자원중소벤처기업위원회,경기 동두천시연천군/경기 동두천시연천군/경기 동두천시양주시연천구을,0,100,100,7,3.4,196506.0,196506.0,194.3,S+,Yes
박충권,국민의미래,"과학기술정보방송통신위원회, 국회운영위원회",비례대표,0,100,100,4,3.6,171363.4,171363.4,187.8,S+,Yes
박홍배,더불어민주연합,"환경노동위원회, 연금개혁 특별위원회, 여성가족위원회",비례대표,0,90,90,2,4.1,167532.0,167532.0,184.6,S+,Yes
곽규택,국민의힘,"법제사법위원회, 순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회, 국회운영위원회",부산 서구동구,0,70,70,3,3.0,154170.0,154170.0,184.2,S+,Yes
강유정,더불어민주연합,,비례대표,0,100,100,1,3.0,170688.0,170688.0,183.7,S+,Yes
이정문,더불어민주당,정무위원회,충남 천안시병/충남 천안시병,0,90,90,3,3.0,214141.6,214141.6,182.4,S+,Yes
전현희,더불어민주당,법제사법위원회,비례대표/서울 강남구을/서울 중구성동구갑,0,20,20,2,3.0,209497.6,209497.6,182.4,S+,Yes
강대식,국민의힘,국방위원회,대구 동구을/대구 동구군위군을,0,90,90,4,3.2,185495.4,185495.4,181.7,S+,Yes
황명선,더불어민주당,"순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 국방위원회",충남 논산시계룡시금산군,0,70,70,5,3.3,197020.0,197020.0,175.2,S+,Yes
진성준,더불어민주당,기획재정위원회,비례대표/서울 강서구을/서울 강서구을,0,80,80,3,3.4,197145.6,197145.6,170.3,S+,Yes
이학영,더불어민주당,환경노동위원회,경기 군포시/경기 군포시을/경기 군포시/경기 군포시,0,90,90,4,3.3,194514.0,194514.0,169.2,S+,Yes
주호영,국민의힘,행정안전위원회,대구광역시 수성구을/대구 수성구을/대구 수성구을/대구 수성구을/대구 수성구갑/대구 수성구갑,0,70,70,6,2.9,161769.3,161769.3,165.7,S+,Yes
